મુખપૃષ્ઠ	Main Page
Timwi	Timwi
General disclaimer	General disclaimer
કુદરત	Nature
નરસિંહ મહેતા	Narsinh Mehta
કનૈયાલાલ મુનશી	Kanaiyalal Maneklal Munshi
સ્ટબ	Stub
રાષ્ટ્રીય પ્રતિજ્ઞા 	National Pledge 
Yann	Yann
ગુજરાતી સાહિત્યકારો	List of Gujarati-language writers
ગુજરાત	Gujarat
મહાત્મા ગાંધી	Mahatma Gandhi
ગરબા	Garba 
અમદાવાદ	Ahmedabad
Spundun	Spundun
ચોતરો	Village pump
Villagepumppages	Village pump page header
Angela	Angela
Recentchanges	Recentchanges
દરેક ભાષાના વિકિપીડિયામાં હોય એવા પ્રારંભિક લેખોની યાદી	Vital articles
મીરાંબાઈ	Meera
Bgbot	Bgbot
ભાષાંતર	Not English
વિકિપીડિયા	Wikipedia
પ્રબંધક	Administrators
મુંબઈ	Mumbai
સહપરિયોજનાઓ	Wikipedia's sister projects
હુર્રિયત પરિષદ	All Parties Hurriyat Conference
કાશ્મીર	Kashmir
૧૯૯૩	1993
પાકિસ્તાન	Pakistan
લોક સભા	Lok Sabha
કરોડ	Crore
કોંગ્રેસ	Congress
દયારામ	Dayaram
માર્ક ટ્વેઇન	Mark Twain
લાહોર	Lahore
ઢાકા	Dhaka
વર્જિન એટલાંટિક	Virgin Atlantic
Requests for adminship	Requests for adminship
એમ એફ હુસૈન	M. F. Husain
બિહાર	Bihar
મુકેશ	Mukesh 
વેલિંગ્ટન	Wellington
થાઇલેન્ડ	Thailand
આસામ	Assam
Nickshanks	Nickshanks
આફ્રિકા	Africa
નરેન્દ્ર મોદી	Narendra Modi
Gangleri	Gangleri
ગુજરાતી લોકો	Gujarati people
હિંદી ભાષા	Hindi
નીલ્સ હેન્રીક અબૅલ	Niels Henrik Abel
ગોડફ્રી હેરોલ્ડ હાર્ડી	G. H. Hardy
નિષ્પક્ષતા	POV
Message box	Message box
ભૂગોળ	Geography
લતા મંગેશકર	Lata Mangeshkar
આશા ભોંસલે	Asha Bhosle
સચિન તેંડુલકર	Sachin Tendulkar
રમત	Sport
કલા	Arts
વડોદરા	Vadodara
ઇતિહાસ	History
આવર્ત કોષ્ટક	Periodic table
આમિર ખાન	Aamir Khan
શાહરૂખ ખાન	Shah Rukh Khan
અવિનાશ વ્યાસ	Avinash Vyas
અમિતાભ બચ્ચન	Amitabh Bachchan
ગણિત	Mathematics
વિજ્ઞાન	Science
ગુજરાત	Gujarat
ભારત	India
ભારતની સંસદ	Parliament of India
સમાચાર	News
સાહિત્ય	Literature
શ્રીનિવાસ રામાનુજન	Srinivasa Ramanujan
અખા ભગત	Akha Bhagat
જગદીશચંદ્ર બોઝ	Jagadish Chandra Bose
વિક્રમ સારાભાઈ	Vikram Sarabhai
ઐશ્વર્યા રાય	Aishwarya Rai
કાજોલ	Kajol
પ્રયોગસ્થળ	Sandbox
Please leave this line alone 	Sandbox heading
રાની મુખર્જી	Rani Mukerji
સુધારો	Cleanup
GFDL	GFDL
સબસ્ટબ	Substub
સીદીસૈયદની જાળી	Sidi Saiyyed Mosque
ભૂમિતિ	Geometry
સુરત	Surat
Wikipedia cleanup	Articles needing cleanup
લંડન	London
જાપાન	Japan
કાંકરિયા તળાવ	Kankaria Lake
મહાભારત	Mahabharata
ઉદ્યોગ	Industry
ધર્મ	Religion
મહાભારત	Mahabharata
ભાવનગર જિલ્લો	Bhavnagar district
ભાવનગર	Bhavnagar
એશિયાઇ સિંહ	Lion
ગુજરાતનાં શહેરો અને નગરો	Cities and towns in Gujarat
કચ્છ જિલ્લો	Kutch district
ભુજ	Bhuj
સોમનાથ	Somnath temple
નર્મદા નદી	Narmada River
હોમી ભાભા	Homi J. Bhabha
અંજાર	Anjar, Gujarat
માંડવી 	Mandvi
બેંગલોર	Bangalore
લાખ	Lakh
મારે સભ્ય શા માટે થવું જોઇએ?	Why create an account?
સુનામી	Tsunami
ધરતીકંપ	Earthquake
ખગોળશાસ્ત્ર	Astronomy
ભૌતિકશાસ્ત્ર	Physics
રાજ્ય સભા	Rajya Sabha
ભારતના રાષ્ટ્રપતિ	President of India
ભારતના વડાપ્રધાન	List of Prime Ministers of India
સૂર્યમંડળ	Solar System
રસાયણ શાસ્ત્ર	Chemistry
Imdb name	IMDb name
આવર્ત કોષ્ટક	Periodic table 
કાર્બન	Carbon
ચંદ્ર	Moon
વર્તુળનો વ્યાસ	Diameter
જાણીતા પ્રશ્નો	FAQ
વર્તુળની ત્રિજ્યા	Radius 
વિકિસ્રોત	Wikisource
વિકિમીડિયા	Wikimedia
ફ્રાન્સ	France
મોર	Peafowl
નિહારિકા	Nebula
પ્રકાશવર્ષ	Light-year
નક્ષત્ર	Constellation
વાઘ	Tiger
Commons	Commons
સૂર્ય	Sun
બુધ 	Mercury 
શુક્ર 	Venus
પૃથ્વી	Earth
મંગળ 	Mars
ગુરુ 	Jupiter
શનિ 	Saturn
યુરેનસ 	Uranus
નૅપ્ચ્યુન 	Neptune
ઉદકજન	Hydrogen
પ્રાણવાયુ 	Oxygen
હીલિયમ	Helium
ગુરુ	Guru
પ્લૂટો	Pluto
ક્રિકેટ	Cricket
જન ગણ મન	Jana Gana Mana
ઍન્ટાર્કટિકા	Antarctica
